Genome project	Gene stable ID
caenorhabditis_brenneri	WBGene00138883
caenorhabditis_brenneri	WBGene00138884
caenorhabditis_brenneri	WBGene00138885
caenorhabditis_brenneri	WBGene00138886
caenorhabditis_brenneri	WBGene00138887
caenorhabditis_brenneri	WBGene00138888
caenorhabditis_brenneri	WBGene00138889
caenorhabditis_brenneri	WBGene00138890
caenorhabditis_brenneri	WBGene00138891
caenorhabditis_brenneri	WBGene00138892
caenorhabditis_brenneri	WBGene00138893
caenorhabditis_brenneri	WBGene00138894
caenorhabditis_brenneri	WBGene00138895
caenorhabditis_brenneri	WBGene00138896
caenorhabditis_brenneri	WBGene00138897
caenorhabditis_brenneri	WBGene00138898
caenorhabditis_brenneri	WBGene00138899
caenorhabditis_brenneri	WBGene00138900
caenorhabditis_brenneri	WBGene00138901
caenorhabditis_brenneri	WBGene00138902
caenorhabditis_brenneri	WBGene00138903
caenorhabditis_brenneri	WBGene00138904
caenorhabditis_brenneri	WBGene00138905
caenorhabditis_brenneri	WBGene00138906
caenorhabditis_brenneri	WBGene00138907
caenorhabditis_brenneri	WBGene00138908
caenorhabditis_brenneri	WBGene00138909
caenorhabditis_brenneri	WBGene00138910
caenorhabditis_brenneri	WBGene00138911
caenorhabditis_brenneri	WBGene00138912
caenorhabditis_brenneri	WBGene00138913
caenorhabditis_brenneri	WBGene00138915
caenorhabditis_brenneri	WBGene00138916
caenorhabditis_brenneri	WBGene00138917
caenorhabditis_brenneri	WBGene00138918
caenorhabditis_brenneri	WBGene00138919
caenorhabditis_brenneri	WBGene00138920
caenorhabditis_brenneri	WBGene00138921
caenorhabditis_brenneri	WBGene00138922
caenorhabditis_brenneri	WBGene00138923
caenorhabditis_brenneri	WBGene00138924
caenorhabditis_brenneri	WBGene00138925
caenorhabditis_brenneri	WBGene00138926
caenorhabditis_brenneri	WBGene00138927
caenorhabditis_brenneri	WBGene00138928
caenorhabditis_brenneri	WBGene00138929
caenorhabditis_brenneri	WBGene00138930
caenorhabditis_brenneri	WBGene00138931
caenorhabditis_brenneri	WBGene00138932
caenorhabditis_brenneri	WBGene00138933
caenorhabditis_brenneri	WBGene00138934
caenorhabditis_brenneri	WBGene00138936
caenorhabditis_brenneri	WBGene00138937
caenorhabditis_brenneri	WBGene00138938
caenorhabditis_brenneri	WBGene00138939
caenorhabditis_brenneri	WBGene00138940
caenorhabditis_brenneri	WBGene00138941
caenorhabditis_brenneri	WBGene00138942
caenorhabditis_brenneri	WBGene00138943
caenorhabditis_brenneri	WBGene00138944
caenorhabditis_brenneri	WBGene00138945
caenorhabditis_brenneri	WBGene00138946
caenorhabditis_brenneri	WBGene00138947
caenorhabditis_brenneri	WBGene00138948
caenorhabditis_brenneri	WBGene00138949
caenorhabditis_brenneri	WBGene00138950
caenorhabditis_brenneri	WBGene00138951
caenorhabditis_brenneri	WBGene00138952
caenorhabditis_brenneri	WBGene00138954
caenorhabditis_brenneri	WBGene00138955
caenorhabditis_brenneri	WBGene00138956
caenorhabditis_brenneri	WBGene00138957
caenorhabditis_brenneri	WBGene00138958
caenorhabditis_brenneri	WBGene00138959
caenorhabditis_brenneri	WBGene00138960
caenorhabditis_brenneri	WBGene00138961
caenorhabditis_brenneri	WBGene00138962
caenorhabditis_brenneri	WBGene00138963
caenorhabditis_brenneri	WBGene00138964
caenorhabditis_brenneri	WBGene00138965
caenorhabditis_brenneri	WBGene00138966
caenorhabditis_brenneri	WBGene00138967
caenorhabditis_brenneri	WBGene00138968
caenorhabditis_brenneri	WBGene00138969
caenorhabditis_brenneri	WBGene00138970
caenorhabditis_brenneri	WBGene00138971
caenorhabditis_brenneri	WBGene00138972
caenorhabditis_brenneri	WBGene00138973
caenorhabditis_brenneri	WBGene00138974
caenorhabditis_brenneri	WBGene00138975
caenorhabditis_brenneri	WBGene00138977
caenorhabditis_brenneri	WBGene00138978
caenorhabditis_brenneri	WBGene00138979
caenorhabditis_brenneri	WBGene00138980
caenorhabditis_brenneri	WBGene00138981
caenorhabditis_brenneri	WBGene00138982
caenorhabditis_brenneri	WBGene00138983
caenorhabditis_brenneri	WBGene00138984
caenorhabditis_brenneri	WBGene00138985
caenorhabditis_brenneri	WBGene00138986
caenorhabditis_brenneri	WBGene00138987
caenorhabditis_brenneri	WBGene00138988
caenorhabditis_brenneri	WBGene00138989
caenorhabditis_brenneri	WBGene00138990
caenorhabditis_brenneri	WBGene00138991
caenorhabditis_brenneri	WBGene00138992
caenorhabditis_brenneri	WBGene00138993
caenorhabditis_brenneri	WBGene00138994
caenorhabditis_brenneri	WBGene00138995
caenorhabditis_brenneri	WBGene00138996
caenorhabditis_brenneri	WBGene00138997
caenorhabditis_brenneri	WBGene00138998
caenorhabditis_brenneri	WBGene00138999
caenorhabditis_brenneri	WBGene00139000
caenorhabditis_brenneri	WBGene00139001
caenorhabditis_brenneri	WBGene00139002
caenorhabditis_brenneri	WBGene00139003
caenorhabditis_brenneri	WBGene00139004
caenorhabditis_brenneri	WBGene00139005
caenorhabditis_brenneri	WBGene00139006
caenorhabditis_brenneri	WBGene00139007
caenorhabditis_brenneri	WBGene00139008
caenorhabditis_brenneri	WBGene00139009
caenorhabditis_brenneri	WBGene00139010
caenorhabditis_brenneri	WBGene00139011
caenorhabditis_brenneri	WBGene00139012
caenorhabditis_brenneri	WBGene00139013
caenorhabditis_brenneri	WBGene00139014
caenorhabditis_brenneri	WBGene00139015
caenorhabditis_brenneri	WBGene00139016
caenorhabditis_brenneri	WBGene00139017
caenorhabditis_brenneri	WBGene00139018
caenorhabditis_brenneri	WBGene00139019
caenorhabditis_brenneri	WBGene00139020
caenorhabditis_brenneri	WBGene00139021
caenorhabditis_brenneri	WBGene00139022
caenorhabditis_brenneri	WBGene00139023
caenorhabditis_brenneri	WBGene00139024
caenorhabditis_brenneri	WBGene00139025
caenorhabditis_brenneri	WBGene00139026
caenorhabditis_brenneri	WBGene00139027
caenorhabditis_brenneri	WBGene00139028
caenorhabditis_brenneri	WBGene00139029
caenorhabditis_brenneri	WBGene00139030
caenorhabditis_brenneri	WBGene00139031
caenorhabditis_brenneri	WBGene00139032
caenorhabditis_brenneri	WBGene00139033
caenorhabditis_brenneri	WBGene00139034
caenorhabditis_brenneri	WBGene00139035
caenorhabditis_brenneri	WBGene00139036
caenorhabditis_brenneri	WBGene00139037
caenorhabditis_brenneri	WBGene00139038
caenorhabditis_brenneri	WBGene00139039
caenorhabditis_brenneri	WBGene00139040
caenorhabditis_brenneri	WBGene00139041
caenorhabditis_brenneri	WBGene00139042
caenorhabditis_brenneri	WBGene00139043
caenorhabditis_brenneri	WBGene00139044
caenorhabditis_brenneri	WBGene00139045
caenorhabditis_brenneri	WBGene00139046
caenorhabditis_brenneri	WBGene00139047
caenorhabditis_brenneri	WBGene00139048
caenorhabditis_brenneri	WBGene00139049
caenorhabditis_brenneri	WBGene00139050
caenorhabditis_brenneri	WBGene00139051
caenorhabditis_brenneri	WBGene00139052
caenorhabditis_brenneri	WBGene00139053
caenorhabditis_brenneri	WBGene00139054
caenorhabditis_brenneri	WBGene00139055
caenorhabditis_brenneri	WBGene00139056
caenorhabditis_brenneri	WBGene00139057
caenorhabditis_brenneri	WBGene00139058
caenorhabditis_brenneri	WBGene00139059
caenorhabditis_brenneri	WBGene00139060
caenorhabditis_brenneri	WBGene00139061
caenorhabditis_brenneri	WBGene00139062
