Genome project	Gene stable ID
caenorhabditis_elegans	WBGene00000183
caenorhabditis_elegans	WBGene00000184
caenorhabditis_elegans	WBGene00000185
caenorhabditis_elegans	WBGene00000186
caenorhabditis_elegans	WBGene00000187
caenorhabditis_elegans	WBGene00000188
caenorhabditis_elegans	WBGene00000189
caenorhabditis_elegans	WBGene00000190
caenorhabditis_elegans	WBGene00000191
caenorhabditis_elegans	WBGene00000192
caenorhabditis_elegans	WBGene00000193
caenorhabditis_elegans	WBGene00000195
caenorhabditis_elegans	WBGene00000196
caenorhabditis_elegans	WBGene00000197
caenorhabditis_elegans	WBGene00000198
caenorhabditis_elegans	WBGene00000199
caenorhabditis_elegans	WBGene00000200
caenorhabditis_elegans	WBGene00000201
caenorhabditis_elegans	WBGene00000202
caenorhabditis_elegans	WBGene00000203
caenorhabditis_elegans	WBGene00000204
caenorhabditis_elegans	WBGene00000205
caenorhabditis_elegans	WBGene00000206
caenorhabditis_elegans	WBGene00000207
caenorhabditis_elegans	WBGene00000208
caenorhabditis_elegans	WBGene00000209
caenorhabditis_elegans	WBGene00000210
caenorhabditis_elegans	WBGene00000211
caenorhabditis_elegans	WBGene00000212
caenorhabditis_elegans	WBGene00000213
caenorhabditis_elegans	WBGene00000214
caenorhabditis_elegans	WBGene00000215
caenorhabditis_elegans	WBGene00000216
caenorhabditis_elegans	WBGene00000217
caenorhabditis_elegans	WBGene00000218
caenorhabditis_elegans	WBGene00000219
caenorhabditis_elegans	WBGene00000220
caenorhabditis_elegans	WBGene00000221
caenorhabditis_elegans	WBGene00000222
caenorhabditis_elegans	WBGene00000223
caenorhabditis_elegans	WBGene00000224
caenorhabditis_elegans	WBGene00000225
caenorhabditis_elegans	WBGene00000226
caenorhabditis_elegans	WBGene00000227
caenorhabditis_elegans	WBGene00000228
caenorhabditis_elegans	WBGene00000229
caenorhabditis_elegans	WBGene00000230
caenorhabditis_elegans	WBGene00000231
caenorhabditis_elegans	WBGene00000232
caenorhabditis_elegans	WBGene00000233
caenorhabditis_elegans	WBGene00000235
caenorhabditis_elegans	WBGene00000236
caenorhabditis_elegans	WBGene00000237
caenorhabditis_elegans	WBGene00000238
caenorhabditis_elegans	WBGene00000239
caenorhabditis_elegans	WBGene00000240
caenorhabditis_elegans	WBGene00000241
caenorhabditis_elegans	WBGene00000242
caenorhabditis_elegans	WBGene00000244
caenorhabditis_elegans	WBGene00000245
caenorhabditis_elegans	WBGene00000246
caenorhabditis_elegans	WBGene00000247
caenorhabditis_elegans	WBGene00000248
caenorhabditis_elegans	WBGene00000249
caenorhabditis_elegans	WBGene00000250
caenorhabditis_elegans	WBGene00000251
caenorhabditis_elegans	WBGene00000252
caenorhabditis_elegans	WBGene00000253
caenorhabditis_elegans	WBGene00000254
caenorhabditis_elegans	WBGene00000255
caenorhabditis_elegans	WBGene00000256
caenorhabditis_elegans	WBGene00000257
caenorhabditis_elegans	WBGene00000259
caenorhabditis_elegans	WBGene00000262
caenorhabditis_elegans	WBGene00000263
caenorhabditis_elegans	WBGene00000264
caenorhabditis_elegans	WBGene00000265
caenorhabditis_elegans	WBGene00000266
caenorhabditis_elegans	WBGene00000267
caenorhabditis_elegans	WBGene00000268
caenorhabditis_elegans	WBGene00000269
caenorhabditis_elegans	WBGene00000270
caenorhabditis_elegans	WBGene00000271
caenorhabditis_elegans	WBGene00000272
caenorhabditis_elegans	WBGene00000273
caenorhabditis_elegans	WBGene00000274
caenorhabditis_elegans	WBGene00000275
caenorhabditis_elegans	WBGene00000276
caenorhabditis_elegans	WBGene00000277
caenorhabditis_elegans	WBGene00000279
caenorhabditis_elegans	WBGene00000280
caenorhabditis_elegans	WBGene00000281
caenorhabditis_elegans	WBGene00000282
caenorhabditis_elegans	WBGene00000283
caenorhabditis_elegans	WBGene00000284
caenorhabditis_elegans	WBGene00000285
caenorhabditis_elegans	WBGene00000286
caenorhabditis_elegans	WBGene00000287
caenorhabditis_elegans	WBGene00000288
caenorhabditis_elegans	WBGene00000289
caenorhabditis_elegans	WBGene00000292
caenorhabditis_elegans	WBGene00000293
caenorhabditis_elegans	WBGene00000294
caenorhabditis_elegans	WBGene00000295
caenorhabditis_elegans	WBGene00000296
caenorhabditis_elegans	WBGene00000298
caenorhabditis_elegans	WBGene00000301
caenorhabditis_elegans	WBGene00000302
caenorhabditis_elegans	WBGene00000308
caenorhabditis_elegans	WBGene00000310
caenorhabditis_elegans	WBGene00000311
caenorhabditis_elegans	WBGene00000366
caenorhabditis_elegans	WBGene00000367
caenorhabditis_elegans	WBGene00000368
caenorhabditis_elegans	WBGene00000369
caenorhabditis_elegans	WBGene00000370
caenorhabditis_elegans	WBGene00000371
caenorhabditis_elegans	WBGene00000372
caenorhabditis_elegans	WBGene00000373
caenorhabditis_elegans	WBGene00000374
caenorhabditis_elegans	WBGene00000375
caenorhabditis_elegans	WBGene00000376
caenorhabditis_elegans	WBGene00000377
caenorhabditis_elegans	WBGene00000378
caenorhabditis_elegans	WBGene00000379
caenorhabditis_elegans	WBGene00000380
caenorhabditis_elegans	WBGene00000381
caenorhabditis_elegans	WBGene00000382
caenorhabditis_elegans	WBGene00000383
caenorhabditis_elegans	WBGene00000386
caenorhabditis_elegans	WBGene00000387
caenorhabditis_elegans	WBGene00000388
caenorhabditis_elegans	WBGene00000389
caenorhabditis_elegans	WBGene00000390
caenorhabditis_elegans	WBGene00000391
caenorhabditis_elegans	WBGene00000392
caenorhabditis_elegans	WBGene00000393
caenorhabditis_elegans	WBGene00000395
caenorhabditis_elegans	WBGene00000396
caenorhabditis_elegans	WBGene00000397
caenorhabditis_elegans	WBGene00000399
caenorhabditis_elegans	WBGene00000401
caenorhabditis_elegans	WBGene00000402
caenorhabditis_elegans	WBGene00000403
caenorhabditis_elegans	WBGene00000405
caenorhabditis_elegans	WBGene00000406
caenorhabditis_elegans	WBGene00000407
caenorhabditis_elegans	WBGene00000408
caenorhabditis_elegans	WBGene00000409
caenorhabditis_elegans	WBGene00000410
caenorhabditis_elegans	WBGene00000411
caenorhabditis_elegans	WBGene00000412
caenorhabditis_elegans	WBGene00000413
caenorhabditis_elegans	WBGene00000414
caenorhabditis_elegans	WBGene00000415
caenorhabditis_elegans	WBGene00000416
caenorhabditis_elegans	WBGene00000417
caenorhabditis_elegans	WBGene00000418
caenorhabditis_elegans	WBGene00000419
caenorhabditis_elegans	WBGene00000420
caenorhabditis_elegans	WBGene00000421
caenorhabditis_elegans	WBGene00000422
caenorhabditis_elegans	WBGene00000423
